Aveprice,Floor,Garden,Layout,Price,Region,Size,Year
32493元/㎡,4,顶秀美泉小镇A区,2 室 2 厅 1 卫,290 万,怀柔雁栖京加线,89,2010
43387元/㎡,5,南木樨园,3 室 1 厅 1 卫,409 万,丰台木樨园南三环中路,94,1985
35115元/㎡,13,世茂维拉,3 室 1 厅 1 卫,349 万,房山长阳艺林北街22号,99,2015
18146元/㎡,4,城关南里,3 室 1 厅 1 卫,172 万,房山房山城关兴房大街,94,2002
38023元/㎡,15,馨然嘉园三区(长阳国际城三区),3 室 2 厅 1 卫,340 万,房山长阳长政南街,89,2014
29082元/㎡,6,东关一区(东区),3 室 2 厅 1 卫,285 万,怀柔怀柔城区南大街,98,2000
77947元/㎡,14,小营东路17号院,3 室 2 厅 1 卫,668 万,海淀清河小营东路17号,85,1986
24164元/㎡,16,中冶蓝城(东区),3 室 2 厅 1 卫,216 万,房山房山城关德润街12号,89,2015
28604元/㎡,5,八龙桥雅苑,3 室 1 厅 2 卫,254 万,怀柔桥梓怀昌路,88,2009
27000元/㎡,16,阳光水岸(密云),2 室 2 厅 1 卫,240 万,密云密云城区白云街,88,2014
28287元/㎡,12,保利花园A区,3 室 1 厅 1 卫,255 万,密云密云城区阳光街387号,90,2006
33641元/㎡,16,西悦雅居,2 室 2 厅 1 卫,299 万,房山长阳祥云街10号,88,2012
32621元/㎡,5,顶秀美泉小镇B区,2 室 2 厅 1 卫,290 万,怀柔雁栖京加线,88,2016
23196元/㎡,5,恒盛波尔多小镇(南区),2 室 2 厅 1 卫,225 万,大兴大兴周边育新街32号,97,2010
33950元/㎡,12,世茂维拉,3 室 1 厅 1 卫,338 万,房山长阳艺林北街22号,99,2014
28128元/㎡,14,合生世界村,2 室 1 厅 1 卫,255 万,通州马驹桥环景路18号,90,2009
26097元/㎡,13,格兰山水(二期南区),3 室 1 厅 1 卫,235 万,延庆延庆城区孟家庄路61号,90,2012
35826元/㎡,5,顶秀美泉小镇B区,2 室 2 厅 1 卫,322 万,怀柔雁栖京加线,89,2016
41310元/㎡,13,首开熙悦山熹园,2 室 2 厅 1 卫,347 万,"房山长阳康泽路,近京深路",84,2014
69696元/㎡,16,新源南路小区(8-12号(双号)),3 室 1 厅 1 卫,560 万,朝阳三里屯新源南路8-12号(双号),80,1984
