Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,UnitPrice,Year
西北,崇文门,板塔结合,6,体育馆路13号,101113515819,2室1厅, 650万,东城,简装,62.0,"104,569元/平",1950
东,广渠门,塔楼,15,东方财富,101112857809,1室0厅, 530万,东城,精装,44.0,"118,251元/平",2006
南,广渠门,塔楼,17,安化北里,101112962549,1室1厅, 509万,东城,精装,57.0,"88,445元/平",1980
东,广渠门,板楼,16,京城仁合,101113487775,2室1厅, 780万,东城,其他,100.0,"77,891元/平",2004
东,广渠门,塔楼,21,丽水湾畔家园,101113137128,2室2厅, 1120万,东城,精装,130.0,"86,154元/平",2002
东,和平里,板塔结合,20,盛德紫阙,101111113464,1室1厅, 980万,东城,精装,78.0,"125,080元/平",2017
西北,建国门外,板塔结合,14,建国门南大街,101113520452,2室1厅, 710万,东城,精装,68.0,"103,093元/平",1986
西,和平里,板楼,22,盛德紫阙,101112309817,3室1厅, 1560万,东城,精装,146.0,"106,391元/平",2017
西,和平里,板塔结合,20,盛德紫阙,101112494797,3室2厅, 1530万,东城,精装,145.0,"105,365元/平",2017
北,广渠门,塔楼,21,金世纪嘉园,101113500700,1室1厅, 598万,东城,其他,58.0,"101,546元/平",2006
南北,永定门,板塔结合,10,景泰西里西区,101113528762,1室1厅, 576万,东城,精装,69.0,"82,676元/平",2005
东,和平里,板楼,22,盛德紫阙,101111086036,1室1厅, 1020万,东城,精装,88.0,"114,814元/平",2014
北,崇文门,塔楼,7,兴隆都市馨园,101112819323,1室0厅, 385万,东城,精装,28.0,"134,616元/平",2004
东西,东直门,板楼,6,十字坡西里,101112874595,2室1厅, 700万,东城,其他,58.0,"118,866元/平",1983
南北,和平里,板楼,6,和平里五区,101113217895,2室1厅, 750万,东城,其他,55.0,"136,067元/平",1996
西,广渠门,塔楼,15,东方财富,101113534971,1室0厅, 506万,东城,精装,44.0,"112,897元/平",2006
东北,牛街,塔楼,22,南线里小区,101112662747,3室1厅, 1080万,西城,简装,91.0,"117,956元/平",1998
南北,马甸,板楼,6,裕中东里,101112564469,2室1厅, 899万,西城,精装,60.0,"148,842元/平",1991
南北,右安门内,板楼,6,右安门内西街,101112739182,3室1厅, 830万,西城,其他,73.0,"112,864元/平",1980
南,陶然亭,板楼,5,龙爪槐胡同,101112564192,2室1厅, 665万,西城,简装,63.0,"105,172元/平",1998
南,木樨地,板楼,6,白云观,101111793887,1室1厅, 675万,西城,简装,47.0,"141,807元/平",1991
西南,宣武门,板楼,12,庄胜二期,101113406338,2室1厅, 1350万,西城,精装,90.0,"149,685元/平",2004
西,金融街,板楼,4,砖塔胡同78号院,101112226381,3室1厅, 1062万,西城,精装,88.0,"120,409元/平",1958
南北,马甸,板楼,7,新风南里,101112338327,1室1厅, 950万,西城,精装,62.0,"151,758元/平",1996
南北,马甸,板楼,6,北三环中路,101108450421,2室1厅, 900万,西城,简装,65.0,"137,405元/平",1980
南,西四,板楼,6,三不老胡同,101113003854,2室1厅, 880万,西城,精装,65.0,"134,557元/平",1957
南北,阜成门,板楼,6,展览路甲22号院,101112984708,2室1厅, 865万,西城,精装,58.0,"148,117元/平",1988
南,月坛,塔楼,16,二七剧场路,101112964305,2室1厅, 930万,西城,精装,61.0,"151,220元/平",1987
东西,月坛,板楼,4,阜成门外大街,101110089881,3室1厅, 1090万,西城,简装,115.0,"94,783元/平",1955
东西,木樨地,板楼,6,白云观,101111131950,2室1厅, 930万,西城,精装,68.0,"136,765元/平",1991
东西,牛街,板楼,6,平原里小区,101112375656,1室1厅, 680万,西城,精装,51.0,"132,477元/平",1998
南,阜成门,板楼,6,北露园,101113298150,1室1厅, 720万,西城,精装,50.0,"142,293元/平",1993
南北,牛街,板楼,6,平原里小区,101112854965,1室1厅, 560万,西城,简装,45.0,"123,240元/平",1998
北,广安门,塔楼,20,荣丰2008,101112537381,1室1厅, 503万,西城,精装,32.0,"156,747元/平",2004
东西,天宁寺,板楼,6,广安门外南街,101112508469,2室1厅, 598万,西城,精装,56.0,"105,134元/平",1986
南,马连道,塔楼,16,三义东里,101110180150,2室1厅, 698万,西城,简装,55.0,"124,844元/平",1988
西,右安门内,板楼,18,紫金印象,101112456810,1室1厅, 850万,西城,精装,57.0,"148,680元/平",2021
东,菜户营,板楼,6,鸭子桥南里,101112898355,2室1厅, 529万,西城,精装,53.0,"99,755元/平",1980
南北,月坛,板楼,6,三里河东路甲14号院,101110719518,2室1厅, 1050万,西城,简装,58.0,"178,876元/平",1976
